Category,City,Customer Name,Discount,Manufacturer,Order ID,Product Name,Profit,Quantity,Region,Sales,Segment,Order Date,Ship Date,Ship Mode,State,Sub-Category,Product Container,Store Name,New Transportation,Unit Price,Shipping Cost,Priority
Office Supplies,Bakhtiyarpur,Abhay Parmar ,0.4,Harbour Creations,HKG-2015-83604,"Harbour Creations Removable Labels, Laser Printer Compatible",-7,8,East,49,Home Office,2016/8/29,2016/8/29,Same Day,Bihar,Labels,Small Box,Coleman,Regular Air,5.89,5.57,Urgent
Furniture,Shrirangapattana,Ravi Swamy ,0.4,Safco,HKG-2015-83604,"Safco Classic Bookcase, Pine",-870,6,South,1582,Home Office,2016/8/29,2016/8/29,Same Day,Karnataka,Bookcases,Small Box,Coleman,Regular Air,5.89,5.57,Urgent
Office Supplies,Nashik123,Kaman Srinivasa Rao ,0.4,Wilson,HKG-2016-80622,"Wilson Jones Index Tab, Clear",-4,2,West,7,Consumer,2017/12/3,2017/12/7,Second Class,Maharashtra,Binders,Small Box,Morris,Regular Air,18.97,9.54,Urgent
Furniture,Pallikondai,Alok Thakur ,0.4,Sauder,HKG-2017-82645,"Sauder Floating Shelf Set, Metal",-97,2,South,233,Consumer,2018/2/5,2018/2/10,Standard Class,Tamil Nadu,Bookcases,Small Box,Morris,Regular Air,18.97,9.54,Urgent
Technology,Narasannapeta,Thiruma Basu ,0.4,Brother,HKG-2017-86362,"Brother Ink, Laser",-398,10,South,884,Home Office,2018/1/18,2018/1/23,Standard Class,Andhra Pradesh,Copiers,Jumbo Drum,Wright,Delivery Truck,370.98,99,Urgent
Technology,Guwahati,V Bhandari ,0.4,Canon,HKG-2017-85543,"Canon Fax Machine, Color",-134,2,North East,384,Home Office,2018/10/13,2018/10/17,Standard Class,Assam,Copiers,Small Box,Lane,Regular Air,6.48,8.19,Low
Office Supplies,Kota,K Hari Prasad Reddy ,0.4,Breville,HKG-2017-85543,"Breville Microwave, Red",-85,4,North,724,Home Office,2018/10/13,2018/10/17,Standard Class,Chhattisgarh,Appliances,Small Box,Lane,Regular Air,6.48,8.19,Low
Office Supplies,Yelahanka,T Brown ,0.4,Tenex,HKG-2017-85438,"Tenex Folders, Blue",1,1,South,14,Consumer,2018/8/6,2018/8/10,Standard Class,Karnataka,Storage,Medium Box,Jenkins,Regular Air,9.77,6.02,Low
Furniture,Robertsonpet,M Prakash ,0.4,Eldon,HKG-2017-85438,"Eldon Stacking Tray, Duo Pack",-20,2,South,38,Consumer,2018/8/6,2018/8/10,Standard Class,KarnatakaABCD,Furnishings,Wrap Bag,Powell,Regular Air,2.18,7.09,Low
Technology,Ahmadnagar,Narender R K ,0.4,Panasonic,HKG-2017-85438,"Panasonic Inkjet, Red",-705,6,West,1113,Consumer,2018/8/6,2018/8/10,Standard Class,Maharashtra,Machines,Jumbo Drum,Wright,Delivery Truck,370.98,99,Urgent
Office Supplies,Jalandhar,Siddhit Kudalkar ,0.4,Wilson,HKG-2017-85438,"Wilson Jones Hole Reinforcements, Clear",-1,2,North,5,Consumer,2018/8/6,2018/8/10,Standard Class,Punjab,Binders,Jumbo Drum,Allen,Delivery Truck,89.99,42,Urgent
Office Supplies,Madurai,Mujjamil Pathak ,0.4,KitchenAid,HKG-2016-80433,"KitchenAid Refrigerator, Silver",95,6,South,1903,Home Office,2017/5/28,2017/6/2,Standard Class,Tamil Nadu,Appliances,Jumbo Drum,Allen,Delivery Truck,89.99,42,Urgent
Office Supplies,Agartala,Narender Kumar A. Hubballi ,0.4,Ames,HKG-2016-80433,"Ames Clasp Envelope, with clear poly window",-25,6,East,39,Home Office,2017/5/28,2017/6/2,Standard Class,Tripura,Envelopes,Wrap Bag,Powell,Regular Air,2.18,7.09,Low
Office Supplies,Lucknow,Virabhadragouda Desai ,0.4,Boston,HKG-2016-80433,"Boston Pens, Fluorescent",-8,2,East,19,Home Office,2017/5/28,2017/6/2,Standard Class,Uttar Pradesh,Art,Medium Box,Jenkins,Regular Air,9.77,6.02,Low
